### DOMAIN prog — Programming Languages & Paradigms
scope: programming paradigms; type systems; syntax & semantics; memory & resource management; core language features; metaprogramming & reflection; runtimes & execution models; language families & idioms.
prog.imperative-programming | Imperative Programming | sub:paradigms
web.hydration | Hydration | sub:rendering-strategies
web.streaming-ssr | Streaming & Partial Render | sub:rendering-strategies
web.server-components | Server Components | sub:rendering-strategies
web.edge-cdn-delivery | Edge & CDN Delivery | sub:rendering-strategies
web.core-web-vitals | Core Web Vitals | sub:web-perf-a11y
web.critical-rendering-path | Critical Rendering Path | sub:web-perf-a11y
web.code-splitting-lazy-loading | Code Splitting & Lazy Loading | sub:web-perf-a11y
web.asset-optimization | Asset Optimization | sub:web-perf-a11y
web.aria-accessibility | ARIA & Accessibility | sub:web-perf-a11y
web.perf-budgets-monitoring | Perf Budgets & RUM | sub:web-perf-a11y
web.web-storage-apis | Web Storage & IndexedDB | sub:web-platform
web.service-workers-pwa | Service Workers & PWA | sub:web-platform
web.web-workers | Web Workers | sub:web-platform
web.websockets-realtime | WebSockets & Realtime | sub:web-platform
web.cors | CORS | sub:web-platform
web.webassembly | WebAssembly | sub:web-platform
web.web-media-graphics | Canvas, WebGL & WebGPU | sub:web-platform

### DOMAIN backend — Backend & API Engineering
scope: server architecture; REST & HTTP APIs; RPC & GraphQL; authentication & authorization; caching & performance; async & background work; microservices & integration; backend data access.
backend.request-lifecycle | Request Lifecycle | sub:server-arch
backend.threading-models | Threading vs Event Loop | sub:server-arch
backend.app-server | App Servers & Gateways | sub:server-arch
backend.middleware-pipeline | Middleware Pipeline | sub:server-arch
backend.routing | Routing & Dispatch | sub:server-arch
backend.config-injection | Config & Dependency Injection | sub:server-arch
backend.rest-constraints | REST Constraints | sub:rest-apis
backend.resource-modeling | Resource Modeling | sub:rest-apis
backend.http-methods-status | Methods & Status Codes | sub:rest-apis
backend.pagination-filtering | Pagination & Filtering | sub:rest-apis
backend.api-versioning | API Versioning | sub:rest-apis
backend.openapi | OpenAPI & Schemas | sub:rest-apis
backend.idempotency-keys | Idempotency Keys | sub:rest-apis
backend.rpc-model | RPC Fundamentals | sub:rpc-graphql
backend.grpc | gRPC & Protobuf | sub:rpc-graphql
backend.graphql-schema | GraphQL Schema | sub:rpc-graphql
backend.graphql-resolvers | Resolvers & N+1 | sub:rpc-graphql
backend.schema-federation | Schema Federation | sub:rpc-graphql
backend.idl-codegen | IDL & Code Generation | sub:rpc-graphql
backend.api-style-tradeoffs | REST vs RPC vs GraphQL | sub:rpc-graphql
backend.authn-vs-authz | AuthN vs AuthZ | sub:auth
backend.sessions-cookies | Sessions & Cookies | sub:auth
backend.jwt | Tokens & JWT | sub:auth
backend.oauth-oidc | OAuth2 & OIDC | sub:auth
backend.access-control-models | RBAC & ABAC | sub:auth
backend.api-keys-mtls | API Keys & mTLS | sub:auth
backend.secrets-rotation | Secrets & Key Rotation | sub:auth
backend.cache-layers | Cache Layers | sub:caching-be
backend.cache-strategies | Caching Strategies | sub:caching-be
backend.cache-invalidation | Cache Invalidation | sub:caching-be
backend.distributed-cache | Distributed Caches | sub:caching-be
backend.http-caching-be | HTTP Cache Semantics | sub:caching-be
backend.connection-pooling | Connection Pooling | sub:caching-be
backend.rate-limiting | Rate Limiting & Throttling | sub:caching-be
backend.message-queues | Message Queues | sub:async-be
backend.task-workers | Task Queues & Workers | sub:async-be
backend.pubsub-events | Pub/Sub & Events | sub:async-be
backend.delivery-guarantees | Delivery Guarantees | sub:async-be
backend.scheduled-jobs | Scheduled & Cron Jobs | sub:async-be
backend.dlq-retry | Retries & Dead Letters | sub:async-be
backend.webhooks | Webhooks & Callbacks | sub:async-be
backend.service-boundaries | Service Boundaries | sub:microservices
backend.service-discovery | Service Discovery | sub:microservices
backend.api-gateway | API Gateway | sub:microservices
backend.service-mesh | Service Mesh | sub:microservices
backend.inter-service-comm | Inter-Service Comms | sub:microservices
backend.resilience-patterns | Circuit Breakers | sub:microservices
backend.distributed-tx | Sagas & Distributed Tx | sub:microservices
backend.orm-mapping | ORMs & Data Mapping | sub:backend-data
backend.repository-pattern | Repository & DAO | sub:backend-data
backend.query-builders | Query Builders & Raw SQL | sub:backend-data
backend.migrations | Schema Migrations | sub:backend-data
backend.tx-management | Transaction Management | sub:backend-data
backend.n1-data-perf | N+1 & Eager Loading | sub:backend-data
backend.data-access-pitfalls | Pooling & SQL Injection | sub:backend-data

### DOMAIN devops — DevOps, CI/CD & Infrastructure
scope: CI/CD pipelines; build systems & dependency management; containers & images; container orchestration; infrastructure as code; configuration & secrets; deployment strategies; release & artifact management.
devops.pipeline-as-code | Pipeline as Code | sub:cicd
devops.ci-fundamentals | Continuous Integration | sub:cicd
devops.cd-fundamentals | Continuous Delivery | sub:cicd
devops.pipeline-stages | Stages & Gates | sub:cicd
devops.build-agents | Runners & Agents | sub:cicd
devops.pipeline-triggers | Triggers & Webhooks | sub:cicd
devops.matrix-builds | Matrix & Parallel Builds | sub:cicd
devops.build-graph | Build Dependency Graph | sub:build-systems
devops.incremental-builds | Incremental & Cached Builds | sub:build-systems
devops.dependency-resolution | Dependency Resolution | sub:build-systems
devops.lockfiles | Lockfiles & Pinning | sub:build-systems
devops.semver | Semantic Versioning | sub:build-systems
devops.hermetic-builds | Hermetic Builds | sub:build-systems
devops.monorepo-build | Monorepo Build Tooling | sub:build-systems
devops.container-fundamentals | Container Fundamentals | sub:containers
devops.oci-image | OCI Image Format | sub:containers
devops.dockerfile | Image Build Files | sub:containers
devops.layer-caching | Layer Caching & Optimization | sub:containers
devops.multistage-build | Multi-Stage Builds | sub:containers
devops.image-registry | Image Registries | sub:containers
devops.container-runtime | Container Runtimes | sub:containers
devops.image-security | Image Scanning & Hardening | sub:containers
devops.orchestration-fundamentals | Orchestration Fundamentals | sub:orchestration
devops.k8s-architecture | Kubernetes Architecture | sub:orchestration
devops.k8s-workloads | Pods & Workload Controllers | sub:orchestration
devops.k8s-networking | Service & Ingress Networking | sub:orchestration
devops.k8s-scheduling | Scheduling & Affinity | sub:orchestration
devops.k8s-autoscaling | Autoscaling | sub:orchestration
devops.k8s-operators | Operators & CRDs | sub:orchestration
devops.service-mesh | Service Mesh | sub:orchestration
devops.iac-fundamentals | IaC Fundamentals | sub:iac
devops.declarative-iac | Declarative vs Imperative | sub:iac
devops.iac-state | State Management | sub:iac
devops.iac-plan-apply | Plan & Apply Workflow | sub:iac
devops.iac-modules | Modules & Reuse | sub:iac
devops.iac-drift | Drift Detection | sub:iac
devops.immutable-infra | Immutable Infrastructure | sub:iac
devops.config-externalization | Config Externalization | sub:config-mgmt
devops.secrets-management | Secrets Management | sub:config-mgmt
devops.secret-rotation | Secret Rotation & Leasing | sub:config-mgmt
devops.config-mgmt-tools | Configuration Management Tools | sub:config-mgmt
devops.feature-flags | Feature Flags | sub:config-mgmt
devops.env-promotion | Environment Promotion | sub:config-mgmt
devops.secret-injection | Runtime Secret Injection | sub:config-mgmt
devops.deploy-fundamentals | Deployment Fundamentals | sub:deployment
devops.blue-green | Blue-Green Deployment | sub:deployment
devops.canary-deploy | Canary Releases | sub:deployment
devops.rolling-deploy | Rolling Deployment | sub:deployment
devops.progressive-delivery | Progressive Delivery | sub:deployment
devops.rollback | Rollback & Recovery | sub:deployment
devops.gitops | GitOps | sub:deployment
devops.zero-downtime | Zero-Downtime Deploys | sub:deployment
devops.artifact-repository | Artifact Repositories | sub:release
devops.versioning-strategy | Release Versioning | sub:release
devops.artifact-promotion | Artifact Promotion | sub:release
devops.sbom-provenance | SBOM & Provenance | sub:release
devops.artifact-signing | Artifact Signing | sub:release
devops.release-automation | Release Automation | sub:release
devops.supply-chain-security | Supply Chain Security | sub:release

### DOMAIN cloud — Cloud & Platform Engineering
scope: cloud service models; compute; cloud storage; cloud networking; serverless & event-driven; site reliability engineering; reliability & resilience; cost & governance.
cloud.iaas-paas-saas | IaaS, PaaS & SaaS | sub:cloud-models
cloud.shared-responsibility | Shared Responsibility Model | sub:cloud-models
cloud.deployment-models | Public, Private & Hybrid | sub:cloud-models
cloud.multi-cloud | Multi-Cloud Strategy | sub:cloud-models
cloud.regions-az | Regions & Availability Zones | sub:cloud-models
cloud.cloud-native | Cloud-Native Principles | sub:cloud-models
cloud.well-architected | Well-Architected Framework | sub:cloud-models
cloud.virtual-machines | Virtual Machines | sub:cloud-compute
cloud.instance-types | Instance Families & Sizing | sub:cloud-compute
cloud.autoscaling | Autoscaling | sub:cloud-compute
cloud.spot-instances | Spot & Preemptible | sub:cloud-compute
cloud.managed-kubernetes | Managed Kubernetes | sub:cloud-compute
cloud.container-runtimes-cloud | Managed Container Services | sub:cloud-compute
cloud.gpu-compute | GPU & Accelerated Compute | sub:cloud-compute
cloud.object-storage | Object Storage | sub:cloud-storage
cloud.block-storage | Block Storage | sub:cloud-storage
cloud.file-storage | Managed File Storage | sub:cloud-storage
cloud.storage-tiers | Storage Tiers & Lifecycle | sub:cloud-storage
cloud.storage-durability | Durability & Replication | sub:cloud-storage
cloud.managed-databases | Managed Databases | sub:cloud-storage
cloud.cdn | Content Delivery Networks | sub:cloud-storage
cloud.vpc | Virtual Private Cloud | sub:cloud-networking
cloud.subnets-routing | Subnets & Routing | sub:cloud-networking
cloud.security-groups | Security Groups & NACLs | sub:cloud-networking
cloud.load-balancers | Cloud Load Balancers | sub:cloud-networking
cloud.dns-cloud | Managed DNS | sub:cloud-networking
cloud.private-connectivity | Private & Hybrid Connectivity | sub:cloud-networking
cloud.api-gateway | API Gateway | sub:cloud-networking
cloud.service-mesh-cloud | Service Mesh | sub:cloud-networking
cloud.faas | Functions as a Service | sub:serverless
cloud.cold-start | Cold Starts | sub:serverless
cloud.event-driven-arch | Event-Driven Architecture | sub:serverless
cloud.message-queues-cloud | Managed Queues & Streams | sub:serverless
cloud.serverless-orchestration | Workflow Orchestration | sub:serverless
cloud.edge-compute | Edge Computing | sub:serverless
cloud.backend-as-service | Backend as a Service | sub:serverless
cloud.sli-slo-sla | SLIs, SLOs & SLAs | sub:sre
cloud.error-budgets | Error Budgets | sub:sre
cloud.toil-reduction | Toil & Automation | sub:sre
cloud.observability-cloud | Observability Pillars | sub:sre
cloud.oncall | On-Call & Incident Response | sub:sre
cloud.postmortems | Blameless Postmortems | sub:sre
cloud.capacity-planning | Capacity Planning | sub:sre
cloud.redundancy-failover | Redundancy & Failover | sub:reliability
cloud.high-availability | High Availability | sub:reliability
cloud.disaster-recovery | Disaster Recovery | sub:reliability
cloud.fault-isolation | Fault Isolation & Bulkheads | sub:reliability
cloud.graceful-degradation | Graceful Degradation | sub:reliability
cloud.chaos-engineering | Chaos Engineering | sub:reliability
cloud.backup-restore | Backup & Restore | sub:reliability
cloud.pricing-models | Cloud Pricing Models | sub:cloud-cost
cloud.finops | FinOps | sub:cloud-cost
cloud.cost-optimization | Cost Optimization | sub:cloud-cost
cloud.tagging-allocation | Tagging & Cost Allocation | sub:cloud-cost
cloud.cloud-governance | Cloud Governance | sub:cloud-cost
cloud.cloud-iam | Cloud IAM | sub:cloud-cost
cloud.compliance-cloud | Compliance & Data Residency | sub:cloud-cost

### DOMAIN security — Security Engineering
scope: security fundamentals; cryptography; application security; identity & access; network & infra security; secure development; security operations; data protection & privacy.
security.cia-triad | CIA Triad | sub:sec-fundamentals
security.threat-modeling | Threat Modeling | sub:sec-fundamentals
security.attack-surface | Attack Surface | sub:sec-fundamentals
security.defense-in-depth | Defense in Depth | sub:sec-fundamentals
security.least-privilege | Least Privilege | sub:sec-fundamentals
security.risk-management | Risk Management | sub:sec-fundamentals
security.zero-trust | Zero Trust | sub:sec-fundamentals
security.symmetric-crypto | Symmetric Encryption | sub:cryptography
security.asymmetric-crypto | Public-Key Cryptography | sub:cryptography
security.hashing | Cryptographic Hashing | sub:cryptography
security.digital-signatures | Digital Signatures | sub:cryptography
security.key-exchange | Key Exchange | sub:cryptography
security.pki | PKI & Certificates | sub:cryptography
security.password-hashing | Password Hashing | sub:cryptography
security.crypto-pitfalls | Crypto Pitfalls | sub:cryptography
security.owasp-top10 | OWASP Top 10 | sub:appsec
security.injection | Injection Attacks | sub:appsec
security.xss | Cross-Site Scripting | sub:appsec
security.csrf | CSRF | sub:appsec
security.ssrf | SSRF | sub:appsec
security.deserialization | Insecure Deserialization | sub:appsec
security.access-control-flaws | Broken Access Control | sub:appsec
security.authentication | Authentication | sub:authn-authz
security.authorization | Authorization | sub:authn-authz
security.mfa | Multi-Factor Auth | sub:authn-authz
security.oauth-oidc | OAuth 2.0 & OIDC | sub:authn-authz
security.session-mgmt | Session Management | sub:authn-authz
security.rbac-abac | RBAC & ABAC | sub:authn-authz
security.federation-sso | Federation & SSO | sub:authn-authz
security.firewalls | Firewalls | sub:network-sec
security.tls | TLS | sub:network-sec
security.network-segmentation | Network Segmentation | sub:network-sec
security.ids-ips | IDS / IPS | sub:network-sec
security.ddos-defense | DDoS Defense | sub:network-sec
security.vpn | VPN & Tunneling | sub:network-sec
security.cloud-network-sec | Cloud Network Security | sub:network-sec
security.sdl | Secure SDLC | sub:secure-coding
security.input-validation | Input Validation | sub:secure-coding
security.secrets-mgmt | Secrets Management | sub:secure-coding
security.dependency-security | Dependency Security | sub:secure-coding
security.sast-dast | SAST & DAST | sub:secure-coding
security.secure-defaults | Secure Defaults | sub:secure-coding
security.supply-chain | Software Supply Chain | sub:secure-coding
security.siem | SIEM & Log Analysis | sub:sec-ops
security.incident-response | Incident Response | sub:sec-ops
security.vuln-management | Vulnerability Management | sub:sec-ops
security.pentesting | Penetration Testing | sub:sec-ops
security.threat-intel | Threat Intelligence | sub:sec-ops
security.security-monitoring | Security Monitoring | sub:sec-ops
security.forensics | Digital Forensics | sub:sec-ops
security.encryption-at-rest | Encryption at Rest | sub:data-protection
security.data-classification | Data Classification | sub:data-protection
security.privacy-regulations | Privacy Regulations | sub:data-protection
security.data-masking | Masking & Tokenization | sub:data-protection
security.dlp | Data Loss Prevention | sub:data-protection
security.anonymization | Anonymization | sub:data-protection
security.key-management | Key Management | sub:data-protection

### DOMAIN quality — Testing & Software Quality
scope: testing levels; test design; TDD & BDD; test doubles & isolation; test automation; static analysis & linting; performance & load testing; formal methods & verification.
quality.unit-testing | Unit Testing | sub:testing-levels
quality.integration-testing | Integration Testing | sub:testing-levels
quality.e2e-testing | End-to-End Testing | sub:testing-levels
quality.component-testing | Component Testing | sub:testing-levels
quality.test-pyramid | Test Pyramid | sub:testing-levels
quality.smoke-sanity | Smoke & Sanity Tests | sub:testing-levels
quality.acceptance-testing | Acceptance Testing | sub:testing-levels
quality.equivalence-partitioning | Equivalence Partitioning | sub:test-design
quality.boundary-value-analysis | Boundary Value Analysis | sub:test-design
quality.decision-tables | Decision Tables | sub:test-design
quality.coverage-metrics | Code Coverage Metrics | sub:test-design
quality.property-based-testing | Property-Based Testing | sub:test-design
quality.equivalence-vs-error-guessing | Error Guessing | sub:test-design
quality.mutation-testing | Mutation Testing | sub:test-design
quality.combinatorial-testing | Combinatorial Testing | sub:test-design
quality.tdd-cycle | Red-Green-Refactor | sub:tdd-bdd
quality.tdd | Test-Driven Development | sub:tdd-bdd
quality.bdd | Behavior-Driven Development | sub:tdd-bdd
quality.gherkin | Gherkin & Given-When-Then | sub:tdd-bdd
quality.specification-by-example | Specification by Example | sub:tdd-bdd
quality.outside-in-tdd | Outside-In TDD | sub:tdd-bdd
quality.atdd | Acceptance Test-Driven Dev | sub:tdd-bdd
quality.test-doubles-taxonomy | Test Doubles Taxonomy | sub:test-doubles
quality.mocks | Mocks | sub:test-doubles
quality.stubs | Stubs | sub:test-doubles
quality.fakes | Fakes | sub:test-doubles
quality.spies | Spies | sub:test-doubles
quality.dependency-injection-testing | Dependency Injection for Tests | sub:test-doubles
quality.test-isolation | Test Isolation | sub:test-doubles
quality.mocking-pitfalls | Over-Mocking Pitfalls | sub:test-doubles
quality.test-frameworks | Test Frameworks & Runners | sub:test-automation
quality.ci-test-integration | CI Test Integration | sub:test-automation
quality.flaky-tests | Flaky Test Management | sub:test-automation
quality.test-data-management | Test Data Management | sub:test-automation
quality.ui-automation | UI Test Automation | sub:test-automation
quality.visual-regression | Visual Regression Testing | sub:test-automation
quality.contract-testing | Contract Testing | sub:test-automation
quality.snapshot-testing | Snapshot Testing | sub:test-automation
quality.linting | Linting | sub:static-analysis
quality.static-type-checking | Static Type Checking | sub:static-analysis
quality.data-flow-analysis | Data-Flow Analysis | sub:static-analysis
quality.sast | SAST Security Scanning | sub:static-analysis
quality.code-formatters | Code Formatters | sub:static-analysis
quality.complexity-metrics | Complexity Metrics | sub:static-analysis
quality.linter-rules-config | Rule Config & False Positives | sub:static-analysis
quality.load-testing | Load Testing | sub:perf-testing
quality.stress-testing | Stress Testing | sub:perf-testing
quality.soak-testing | Soak Testing | sub:perf-testing
quality.spike-testing | Spike Testing | sub:perf-testing
quality.perf-metrics-slo | Latency & Throughput Metrics | sub:perf-testing
quality.perf-test-tooling | Load Testing Tools | sub:perf-testing
quality.benchmarking | Benchmarking & Microbenchmarks | sub:perf-testing
quality.formal-specification | Formal Specification | sub:formal-methods
quality.model-checking | Model Checking | sub:formal-methods
quality.theorem-proving | Theorem Proving | sub:formal-methods
quality.design-by-contract | Design by Contract | sub:formal-methods
quality.invariants-assertions | Invariants & Assertions | sub:formal-methods
quality.symbolic-execution | Symbolic Execution | sub:formal-methods
quality.smt-solvers | SMT & Constraint Solvers | sub:formal-methods

### DOMAIN practice — Engineering Practice & Process
scope: version control; code review & collaboration; development methodologies; estimation & planning; documentation & communication; code craftsmanship; debugging & troubleshooting; team & career.
practice.git-internals | Git Internals | sub:version-control
practice.branching-models | Branching Models | sub:version-control
practice.merging-rebasing | Merging & Rebasing | sub:version-control
practice.conflict-resolution | Merge Conflict Resolution | sub:version-control
practice.commit-hygiene | Commit Hygiene | sub:version-control
practice.monorepo-polyrepo | Monorepo vs Polyrepo | sub:version-control
practice.git-recovery | History Recovery & Rewriting | sub:version-control
practice.pull-requests | Pull Request Workflow | sub:code-review
practice.review-feedback | Giving Review Feedback | sub:code-review
practice.review-checklists | Review Focus & Checklists | sub:code-review
practice.pr-sizing | Change Sizing & Stacking | sub:code-review
practice.pairing | Pair & Mob Programming | sub:code-review
practice.review-culture | Review Culture | sub:code-review
practice.agile-principles | Agile Principles | sub:methodologies
practice.scrum | Scrum Framework | sub:methodologies
practice.kanban | Kanban & Flow | sub:methodologies
practice.xp-practices | Extreme Programming | sub:methodologies
practice.lean-software | Lean Software | sub:methodologies
practice.waterfall | Waterfall & Stage-Gate | sub:methodologies
practice.scaling-agile | Scaling Frameworks | sub:methodologies
practice.story-points | Relative Estimation | sub:estimation-planning
practice.planning-poker | Estimation Techniques | sub:estimation-planning
practice.velocity-throughput | Velocity & Throughput | sub:estimation-planning
practice.backlog-mgmt | Backlog Management | sub:estimation-planning
practice.roadmapping | Roadmapping | sub:estimation-planning
practice.cone-uncertainty | Estimation Uncertainty | sub:estimation-planning
practice.prioritization | Prioritization Frameworks | sub:estimation-planning
practice.technical-writing | Technical Writing | sub:documentation
practice.design-docs | Design Documents | sub:documentation
practice.adr | Architecture Decision Records | sub:documentation
practice.docs-as-code | Docs as Code | sub:documentation
practice.diagramming | Diagramming & Modeling | sub:documentation
practice.async-comms | Async Communication | sub:documentation
practice.runbooks | Runbooks & Knowledge Base | sub:documentation
practice.clean-code | Clean Code | sub:code-craft
practice.naming | Naming | sub:code-craft
practice.code-smells | Code Smells | sub:code-craft
practice.tech-debt | Technical Debt | sub:code-craft
practice.boy-scout-rule | Incremental Improvement | sub:code-craft
practice.defensive-programming | Defensive Programming | sub:code-craft
practice.simplicity-yagni | Simplicity & YAGNI | sub:code-craft
practice.scientific-debugging | Scientific Debugging | sub:debugging
practice.reproduction | Bug Reproduction | sub:debugging
practice.debugger-tools | Debuggers & Tooling | sub:debugging
practice.print-logging-debug | Logging & Tracing for Debug | sub:debugging
practice.bisection | Bisection | sub:debugging
practice.root-cause-analysis | Root Cause Analysis | sub:debugging
practice.heisenbugs | Concurrency & Heisenbugs | sub:debugging
practice.mentorship | Mentorship & Coaching | sub:career-team
practice.tech-leadership | Technical Leadership | sub:career-team
practice.ic-vs-management | IC & Management Tracks | sub:career-team
practice.deep-work | Focus & Deep Work | sub:career-team
practice.team-dynamics | Team Topologies & Dynamics | sub:career-team
practice.feedback-growth | Feedback & Performance | sub:career-team
practice.engineering-ethics | Engineering Ethics | sub:career-team

### DOMAIN perf — Performance & Observability
scope: performance fundamentals; profiling & measurement; optimization techniques; caching; scalability; observability; monitoring & alerting; incident & reliability practice.
perf.latency-throughput | Latency vs Throughput | sub:perf-fundamentals
perf.tail-latency | Tail Latency | sub:perf-fundamentals
perf.littles-law | Little's Law | sub:perf-fundamentals
perf.queueing-theory | Queueing Theory | sub:perf-fundamentals
perf.usl | Universal Scalability Law | sub:perf-fundamentals
perf.amdahl-law | Amdahl's Law | sub:perf-fundamentals
perf.resource-saturation | Saturation & Bottlenecks | sub:perf-fundamentals
perf.cpu-profiling | CPU Profiling | sub:profiling
perf.flame-graphs | Flame Graphs | sub:profiling
perf.sampling-vs-instrumentation | Sampling vs Instrumentation | sub:profiling
perf.memory-profiling | Memory Profiling | sub:profiling
perf.benchmarking | Benchmarking | sub:profiling
perf.microbenchmark-pitfalls | Microbenchmark Pitfalls | sub:profiling
perf.continuous-profiling | Continuous Profiling | sub:profiling
perf.algorithmic-optimization | Algorithmic Optimization | sub:optimization
perf.data-locality | Data Locality | sub:optimization
perf.batching | Batching & Coalescing | sub:optimization
perf.lazy-eager | Lazy vs Eager Evaluation | sub:optimization
perf.memoization | Memoization | sub:optimization
perf.io-optimization | I/O & Syscall Reduction | sub:optimization
perf.concurrency-optimization | Parallelization | sub:optimization
perf.premature-optimization | Premature Optimization | sub:optimization
perf.cache-hierarchy | Cache Levels & Tiers | sub:caching-perf
perf.eviction-policies | Eviction Policies | sub:caching-perf
perf.cache-invalidation | Cache Invalidation | sub:caching-perf
perf.cache-patterns | Caching Patterns | sub:caching-perf
perf.cache-stampede | Cache Stampede | sub:caching-perf
perf.content-delivery | Content Delivery Networks | sub:caching-perf
perf.cache-coherence-perf | Distributed Cache Consistency | sub:caching-perf
perf.vertical-horizontal | Vertical vs Horizontal Scaling | sub:scalability
perf.load-balancing | Load Balancing | sub:scalability
perf.statelessness | Stateless Services | sub:scalability
perf.autoscaling | Autoscaling | sub:scalability
perf.capacity-planning | Capacity Planning | sub:scalability
perf.backpressure | Backpressure | sub:scalability
perf.load-shedding | Load Shedding | sub:scalability
perf.sharding-scale | Sharding for Scale | sub:scalability
perf.three-pillars | Three Pillars | sub:observability
perf.structured-logging | Structured Logging | sub:observability
perf.metrics-types | Metric Types | sub:observability
perf.distributed-tracing | Distributed Tracing | sub:observability
perf.context-propagation | Context Propagation | sub:observability
perf.opentelemetry | OpenTelemetry | sub:observability
perf.cardinality | Cardinality Management | sub:observability
perf.sampling-traces | Trace Sampling | sub:observability
perf.golden-signals | Four Golden Signals | sub:monitoring
perf.slo-sli | SLIs, SLOs & SLAs | sub:monitoring
perf.error-budgets | Error Budgets | sub:monitoring
perf.alerting | Alerting Design | sub:monitoring
perf.alert-fatigue | Alert Fatigue | sub:monitoring
perf.dashboards | Dashboards & Visualization | sub:monitoring
perf.synthetic-monitoring | Synthetic & RUM | sub:monitoring
perf.anomaly-detection | Anomaly Detection | sub:monitoring
perf.incident-response | Incident Response | sub:incident
perf.incident-command | Incident Command | sub:incident
perf.oncall | On-Call Practice | sub:incident
perf.postmortems | Blameless Postmortems | sub:incident
perf.root-cause-analysis | Root Cause Analysis | sub:incident
perf.mttr-metrics | MTTR & Reliability Metrics | sub:incident
perf.chaos-engineering | Chaos Engineering | sub:incident
perf.game-days | Game Days & DiRT | sub:incident
perf.observability-vs-monitoring | Observability vs Monitoring | sub:observability
